ces-contracts: 2 agreed · 1 disagreement · 39 intermittent · 0 no-runtime-emits · 0 unmeasurable  |  ISRE 2ok/38diff  OSRE 2ok/38diff → /Users/johnt/workspace/GitHub/RealityEngine_CI/config/ces-contracts/domain-ai-services.json
  disagreement: AICapacityThrottler.json::aict-capacity-escalation::aict-saturated — lsp-1+scala-1 | cpp-1 (held over 3 drives)
  intermittent: AISecurityMonitor.json::aism-threat-escalation::aism-elevated — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
  intermittent: AISecurityMonitor.json::aism-threat-escalation::aism-secure — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
  intermittent: AISecurityMonitor.json::aism-threat-escalation::aism-suspicious — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
  intermittent: AIWellnessCoach.json::aiwc-alert-escalate::aiwc-alert — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
  intermittent: AIWellnessCoach.json::aiwc-critical-huddle::aiwc-critical — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
  intermittent: AIWellnessCoach.json::aiwc-good-enrichment::aiwc-good — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
  intermittent: AIWellnessCoach.json::aiwc-optimal-maintain::aiwc-optimal — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
  intermittent: AgYieldOptimizationAI.json::ag-yield-ai-emergency::ag-yield-compound-crisis — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
  intermittent: AgYieldOptimizationAI.json::ag-yield-ai-harvest-optimize::ag-yield-approaching-clean — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
  intermittent: AgYieldOptimizationAI.json::ag-yield-ai-harvest-optimize::ag-yield-peak — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
  intermittent: AgYieldOptimizationAI.json::ag-yield-ai-nominal::ag-yield-nominal — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
  intermittent: AiServicesCoreInterconnect.json::ai-services-core-domain-family-monitoring::ai-services-core-domain-family-monitoring-state — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
  intermittent: AiServicesCoreInterconnect.json::ai-services-core-domain-family-optimization::ai-services-core-domain-family-optimization-state — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
  intermittent: AiServicesCoreInterconnect.json::ai-services-core-domain-family-review::ai-services-core-domain-family-review-state — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
  intermittent: AiServicesCoreInterconnect.json::ai-services-core-domain-family-stable::ai-services-core-domain-family-stable-state — cpp-1+lsp-1+scala-1 then lsp-1+scala-1 | cpp-1 then lsp-1+scala-1 | cpp-1
